Organisationsnr	Namn	PostAdress	PostNr	PostOrt	BesöksAdress	BesöksPostNr	BesöksPostOrt	Tfn	Fax	Epost	Webbadress	SFS
202100-5356	FORUM FÖR LEVANDE HISTORIA	BOX 2123	103 13	STOCKHOLM	STORA NYGATAN 10-12	111 27	STOCKHOLM	08-7238750	08-7238759		www.levandehistoria.se	2007:1197
202100-0340	FÖRSVARETS MATERIELVERK		115 88	STOCKHOLM	BANÉRGATAN 62	115 53	STOCKHOLM	08-7824000	08-6675799	registrator@fmv.se	www.fmv.se	2007:854
202100-0365	FÖRSVARETS RADIOANSTALT	BOX 301	161 26	BROMMA	RÖRBYVÄGEN 2	178 93	DROTTNINGHOLM	08-4714600	08-4714853	fra@fra.se	www.fra.se	2007:937
202100-6339	FÖRSVARSEXPORTMYNDIGHETEN	BOX 56081	102 17	STOCKHOLM	ÖSTERMALMSGATAN 87	114 59	STOCKHOLM	08-58713300			www.fxm.se	2010:654
202100-4730	FÖRSVARSHÖGSKOLAN	BOX 27805	115 93	STOCKHOLM	DROTTNING KRISTINAS VÄG 37	114 28	STOCKHOLM	08-55342500	08-55342598	exp@fhs.se	www.fhs.se	2007:1164
202100-4615	FÖRSVARSMAKTEN		107 85	STOCKHOLM	LIDINGÖVÄGEN 24	115 41	STOCKHOLM	08-7887500	08-7887778	exp-hkv@mil.se	http://www.forsvarsmakten.se/sv/	2009:1204
202100-6313	FÖRSVARSUNDERRÄTTELSEDOMSTOLEN	BOX 1097	164 25	KISTA	GULLFOSSGATAN 6	164 40	KISTA	08-55504500	08-55504520			2009:968
202100-5521	FÖRSÄKRINGSKASSAN		103 51	STOCKHOLM	ADOLF FREDRIKS KYRKOGATA 8	111 37	STOCKHOLM	0771-524524	010-11532	huvudkontoret@forsakringskassan.se	www.forsakringskassan.se	2010:212
202100-4813	GENTEKNIKNÄMNDEN	BOX 1380	171 27	SOLNA	RETZIUS VÄG 13 A	171 65	SOLNA	08-50884630	08-50884633	genteknik@genetik.se	www.genteknik.se	2007:1075
202100-4334	GIH	BOX 5626	114 86	STOCKHOLM	LIDINGÖVÄGEN 1	114 33	STOCKHOLM	08-4022200	08-4022280	registrator@gih.se	www.gih.se	1993:100
202100-4714	GRANSKNINGSNÄMNDEN FÖR RADIO OCH TV	BOX 33	121 25	STOCKHOLM-GLOBEN				08-6067970	08-7410588	grn@grn.se	www.grn.se	2007:1183
202100-3153	GÖTEBORGS UNIVERSITET	BOX 100	405 30	GÖTEBORG	VASAGATAN 33	411 37	GÖTEBORG	031-7860000			www.gu.se	1993:100
202100-4250	HARPSUNDSNÄMNDEN	HARPSUND	640 31	MELLÖSA	HARPSUND	640 31	MELLÖSA	0157-60785	0157-60785	per.rudengren@telia.com	www.harpsund.se	2007:1227
202100-3765	HÄLSO- & SJUKVÅRDENS ANSVARSNÄMND	BOX 3539	103 69	STOCKHOLM	TEKNOLOGGATAN 8C	113 60	STOCKHOLM	08-50886100	08-50886100	hsan@hsan.se	www.hsan.se	2007:1019
202100-2908	HÖGSKOLAN DALARNA		791 88	FALUN	SELMA LAGERLÖFSPLATSEN	791 31	FALUN	023-778000	023-778090	registrator@du.se	www.du.se	1993:100
202100-3138	HÖGSKOLAN I BORÅS		501 90	BORÅS	ALLÉGATAN 1	503 32	BORÅS	033-4354000	033-4354003	registrator@hb.se	www.hb.se	1993:100
202100-2890	HÖGSKOLAN I GÄVLE		801 76	GÄVLE	KUNGSBÄCKSVÄGEN 47	802 67	GÄVLE	026-648500	026-648686	registrator@hig.se	www.hig.se	1993:100
202100-3203	HÖGSKOLAN I HALMSTAD	BOX 823	301 18	HALMSTAD	KRISTIAN IV:S VÄG 3	302 50	HALMSTAD	035-167100	035-186192	registrator@hh.se	www.hh.se	1993:100
202100-3195	HÖGSKOLAN I KRISTIANSTAD		291 88	KRISTIANSTAD	ELMETORPSVÄGEN 15	291 39	KRISTIANSTAD	044-203000	044-129651	info@hkr.se	www.hkr.se	1993:100
202100-3146	HÖGSKOLAN I SKÖVDE	BOX 408	541 28	SKÖVDE	HÖGSKOLEVÄGEN 1	541 45	SKÖVDE	0500-448000	0500-416325	info@his.se	www.his.se	1993:100
202100-4987	HÖGSKOLAN PÅ GOTLAND		621 67	VISBY	CRAMÉRGATAN 3	621 57	VISBY	0498-299900	0498-299962	info@hgo.se	www.hgo.se	1993:100
202100-4052	HÖGSKOLAN VÄST		461 86	TROLLHÄTTAN	GUSTAVA MELINS GATA 2	461 32	TROLLHÄTTAN	0520-223000	0520-223099	registrator@hv.se	www.hv.se	1993:100
202100-4797	HÖGSKOLEVERKET	BOX 7851	103 99	STOCKHOLM	LUNTMAKARGATAN 13	111 37	STOCKHOLM	08-56308500	08-56308550	hsv@hsv.se	www.hsv.se	2007:1293
202100-5877	ILO-KOMMITTÉN		103 33	STOCKHOLM							www.ilo.org	2007:1335
202100-5414	INSPEKTIONEN FÖR ARBETSLÖSHETSFÖRSÄKRING	BOX 210	641 22	KATRINEHOLM	HANTVERKAREGATAN 3	641 30	KATRINEHOLM	0150-487000	0150-487002	iaf@iaf.se	www.iaf.se	2007:906
202100-6248	INSPEKTIONEN FÖR SOCIALFÖRSÄKRINGEN	BOX 202	101 24	STOCKHOLM	FLEMINGGATAN 7	112 32	STOCKHOLM	08-58001500	08-58001590	registrator@inspsf.se	www.inspsf.se	2009:602
202100-4912	INSPEKTIONEN FÖR STRATEGISKA PRODUKTER	BOX 70252	107 22	STOCKHOLM	KLARABERGSVIADUKTEN 90	111 64	STOCKHOLM	08-4063100	08-203100	isp@isp.se	www.isp.se	2007:1219
202100-4946	INSTITUTET F ARBETSMARKNADSPOLITISK UTVÄRDERING	BOX 513	751 20	UPPSALA	KYRKOGÅRDSGATAN 6	753 12	UPPSALA	018-4717070	018-4757071	ifau@ifau.uu.se	www.ifau.se	2007:911
202100-3567	INSTITUTET FÖR RYMDFYSIK	BOX 812	981 28	KIRUNA	RYMDCAMPUS 1	981 92	KIRUNA	0980-79000	0980-79050	irf@irf.se	www.irf.se	2007:1163
202100-1082	INSTITUTET FÖR SPRÅK OCH FOLKMINNEN	BOX 135	751 04	UPPSALA	VON KRAEMERS ALLÉ 19	752 37	UPPSALA	018-652160	018-652165	registrator@sofi.se	www.sofi.se	2007:1181
202100-5604	INSTITUTET FÖR UTVÄRDERING AV INTERNATIONELLT UTVECKLINGSSAMARBETE	BOX 1902	651 19	KARLSTAD	VÅXNÄSGATAN 10 KAROLINEN	653 40	KARLSTAD	054-103700		sadev@sadev.se	www.sadev.se	2007:1300
202100-4854	INTERNATIONELLA PROGRAMKONTORET FÖR UTBILDNINGS-	BOX 22007	104 22	STOCKHOLM	KUNGSBROPLAN 3 A	112 27	STOCKHOLM	08-4537200	08-4537201	info@programkontoret.se	www.programkontoret.se	2007:949
202100-0035	JUSTITIEKANSLERN	BOX 2308	103 17	STOCKHOLM	BIRGER JARLS TORG 12	111 28	STOCKHOLM	08-4051000	08-7230357	registrator@justiekanslern.se	www.justitiekanslern.se	2007:974
202100-0829	KAMMARKOLLEGIET	BOX 2218	103 15	STOCKHOLM	BIRGER JARLS TORG 14	111 28	STOCKHOLM	08-7000800	08-204969	registratur@kammarkollegiet.se	www.kammarkollegiet.se	2007:824
202100-3120	KARLSTADS UNIVERSITET		651 88	KARLSTAD	UNIVERSITETSGATAN 2	656 37	KARLSTAD	054-7001000	054-7001460	information@kau.se	www.kau.se	1993:100
202100-2973	KAROLINSKA INSTITUTET		171 77	STOCKHOLM	NOBELS VÄG 5	171 65	SOLNA	08-52480000	08-311101	info@ki.se	www.ki.se	1993:100
202100-3880	KEMIKALIEINSPEKTIONEN	BOX 2	172 13	SUNDBYBERG	ESPLANADEN 3 A	172 67	SUNDBYBERG	08-51941100	08-7357698	kemi@kemi.se	www.kemi.se	2009:947
202100-2007	KOMMERSKOLLEGIUM	BOX 6803	113 86	STOCKHOLM	DROTTNINGGATAN 89	113 60	STOCKHOLM	08-6904800	08-306759	registrator@kommers.se	www.kommers.se	2009:894
202100-6115	KOMPETENSRÅDET FÖR UTVECKLING I STATEN	BOX 12012	102 21	STOCKHOLM	FLEMINGGATAN 20	112 26	STOCKHOLM	08-4401550	08-4401551	registator@krus.nu	www.krus.nu	2008:1085
202100-0845	KONJUNKTURINSTITUTET	BOX 3116	103 62	STOCKHOLM	KUNGSGATAN 12-14	111 35	STOCKHOLM	08-4535900	08-4535980	ki@konj.se	www.konj.se	2007:759
202100-4342	KONKURRENSVERKET		103 85	STOCKHOLM	TORSGATAN 11	111 23	STOCKHOLM	08-7001600	08-245543	konkurrensverket@kkv.se	www.konkurrensverket.se	2007:1117
202100-1199	KONSTFACK	BOX 3601	126 27	STOCKHOLM	LM ERICSSONS VÄG 14	126 37	HÄGERSTEN	08-4504100	08-7830563	registrator@konstfack.se	www.konstfack.se	1993:100
202100-3252	KONSTNÄRSNÄMNDEN	MARIA SKOLGATA 83	118 53	STOCKHOLM	MARIA SKOLGATA 83	118 53	STOCKHOLM	08-50655000		info@konstnarsnamnden.se	www.konstnarsnamnden.se	2007:1199
202100-2064	KONSUMENTVERKET	BOX 48	651 02	KARLSTAD	LAGERGRENS GATA 8	652 26	KARLSTAD	0771-423300	054-194195	konsumentverket@konsumentverket.se	www.konsumentverket.se	2009:607
202100-5810	KRIGSFÖRSÄKRINGSNÄMNDEN	BOX 7821	103 97	STOCKHOLM				08-7878000	08-241335			2007:842
202100-0225	KRIMINALVÅRDEN		601 80	NORRKÖPING	SLOTTSGATAN 78	602 22	NORRKÖPING	077-2280800	011-4963640	hk@kriminalvarden.se	www.kriminalvarden.se	2007:1172
202100-5992	KRIMINALVÅRDSNÄMNDEN	BOX 12034	102 21	STOCKHOLM				08-51912176	08-51912178			2007:1173
202100-5646	KRONOFOGDEMYNDIGHETEN		171 94	SOLNA	SOLNA STRANDVÄG 10	171 54	SOLNA	0771-529400	08-262614	kfm@kfm01.rsv.se	www.kronofogden.se	2007:781
202100-1710	KUNGLIGA BIBLIOTEKET	BOX 5039	102 41	STOCKHOLM	HUMLEGÅRDSGATAN 26 HUMLEGÅRDEN	114 46	STOCKHOLM	08-4634000	08-4634004	kungl.biblioteket@kb.se	www.kb.se	2008:1421
202100-2957	KUNGLIGA KONSTHÖGSKOLAN	BOX 16315	103 26	STOCKHOLM	FLAGGMANSVÄGEN 1	111 49	STOCKHOLM	08-6144000	08-6798626	info@kkh.se	www.kkh.se	1993:100
202100-1215	KUNGLIGA MUSIKHÖGSKOLAN	BOX 27711	115 91	STOCKHOLM	VALHALLAVÄGEN 105	115 31	STOCKHOLM	08-161800	08-6641424	info@kmh.se	www.kmh.se	1993:100
202100-3054	KUNGLIGA TEKNISKA HÖGSKOLAN		100 44	STOCKHOLM	VALHALLAVÄGEN 79	114 27	STOCKHOLM	08-7906000	08-7906500	registrator@kth.se	www.kth.se	1993:100
202100-3997	KUSTBEVAKNINGEN	BOX 536	371 23	KARLSKRONA	STUMHOLMEN	371 32	KARLSKRONA	0455-353400	0455-10521	registrator@kustbevakningen.se	www.kustbevakningen.se	2007:853
202100-4904	KÄRNAVFALLSFONDENS STYRELSE	BOX 2218	103 15	STOCKHOLM	BIRGER JARLS TORG 14	111 28	STOCKHOLM	08-7000800	08-203881	karnavfallsfondens.styrelse@kammarkollegiet.se	www.karnavfallsfonden.se	2007:1055
202100-5315	LAGRÅDET	BOX 2066	103 12	STOCKHOLM							www.lagradet.se	2003:333
202100-4888	LANTMÄTERIET		801 82	GÄVLE	LANTMÄTERIGATAN 2C	802 64	GÄVLE	0771-636363	026-687594	lantmateriet@lm.se	www.lantmateriet.se	2009:946
202100-3096	LINKÖPINGS UNIVERSITET		581 83	LINKÖPING	MÄSTER MATTIAS VÄG	583 30	LINKÖPING	013-281000	013-149403	liu@liu.se	www.liu.se	1993:100
202100-6271	LINNÉUNIVERSITETET		351 95	VÄXJÖ	UNIVERSITETSPLATSEN 1	352 52	VÄXJÖ	0772-288000			www.linneuniversitetet.se	1993:100
202100-3732	LIVRUSTKAMMAREN OCH SKOKLOSTERS SLOTT MED STIFTELSEN HALLWYLSKA MUSEET	SLOTTSBACKEN 3	111 30	STOCKHOLM	SLOTTSBACKEN 3	111 30	STOCKHOLM	08-4023000	08-207305	livrustkammaren@lsh.se	www.lsh.se	2007:1195
202100-1850	LIVSMEDELSVERKET	BOX 622	751 26	UPPSALA	HAMNESPLANADEN 5	753 19	UPPSALA	018-175500	018-105848	livsmedelsverket@slv.se	www.slv.se	2009:1426
202100-3310	LOTTERIINSPEKTIONEN	BOX 199	645 23	STRÄNGNÄS	FINNINGEVÄGEN 54 B	645 42	STRÄNGNÄS	0152-650100		registrator@lotteriinspektionen.se	www.lotteriinspektionen.se	2007:756
202100-2841	LULEÅ TEKNISKA UNIVERSITET		971 87	LULEÅ	UNIVERSITETSOMRÅDET PORSÖN	977 54	LULEÅ	0920-491000	0920-491399	universitetet@ltu.se	www.ltu.se	1993:100
202100-3211	LUNDS UNIVERSITET	BOX 117	221 00	LUND	PARADISGATAN 2	223 50	LUND	046-2220000	046-2224720	univer@luniver.lu.se	www.lu.se	1993:100
202100-4078	LÄKEMEDELSVERKET	BOX 26	751 03	UPPSALA	DAG HAMMARSKJÖLDS VÄG 42	752 37	UPPSALA	018-174600	018-548566	registrator@mpa.se	www.lakemedelsverket.se	2007:1205
202100-2320	LÄNSSTYRELSEN I BLEKINGE LÄN		371 86	KARLSKRONA	RONNEBYGATAN 22	371 33	KARLSKRONA	0455-87000	0455-87019	blekinge@lansstyrelsen.se	www.lansstyrelsen.se/blekinge	2007:825
202100-2429	LÄNSSTYRELSEN I DALARNAS LÄN		791 84	FALUN	ÅSGATAN 38	791 72	FALUN	023-81000	023-81144	lansstyrelsen@w.lst.se	www.w.lst.se	2007:825
202100-2312	LÄNSSTYRELSEN I GOTLANDS LÄN		621 85	VISBY	VISBORGSALLÉN 4	621 50	VISBY	0498-292100	0498-217289	gotland@lansstyrelsen.se	www.lansstyrelsen.se/gotland	2007:825
202100-2437	LÄNSSTYRELSEN I GÄVLEBORGS LÄN		801 70	GÄVLE	BORGMÄSTARPLAN 1	802 66	GÄVLE	026-171000	026-171305	gavleborg@lansstyrelsen.se	www.lansstyrelsen.se/gavleborg	2007:825
202100-2353	LÄNSSTYRELSEN I HALLANDS LÄN		301 86	HALMSTAD	SLOTTSGATAN 2	302 38	HALMSTAD	035-132000		halland@lansstyrelsen.se	www.lansstyrelsen.se/halland	2007:825
202100-2452	LÄNSSTYRELSEN I JÄMTLANDS LÄN		831 86	ÖSTERSUND	KÖPMANGATAN 21	831 30	ÖSTERSUND	063-146000	063-102590	jamtland@lansstyrelsen.se	www.lansstyrelsen.se/jamtland	2007:825
202100-2288	LÄNSSTYRELSEN I JÖNKÖPINGS LÄN		551 86	JÖNKÖPING	HAMNGATAN 4	553 16	JÖNKÖPING	036-395000	036-121558	jonkoping@lansstyrelsen.se	www.lansstyrelsen.se/jonkoping	2007:825
202100-2304	LÄNSSTYRELSEN I KALMAR LÄN		391 86	KALMAR	MALMBROGATAN 6	392 35	KALMAR	0480-82000	0480-82275	kalmar@lansstyrelsen.se	www.lansstyrelsen.se/kalmar	2007:825
202100-2296	LÄNSSTYRELSEN I KRONOBERGS LÄN		351 86	VÄXJÖ	KUNGSGATAN 8	352 33	VÄXJÖ	0470-86000	0470-86180	kronoberg@lansstyrelsen.se	www.lansstyrelsen.se/skane	2007:825
202100-2478	LÄNSSTYRELSEN I NORRBOTTENS LÄN		971 86	LULEÅ	STATIONSGATAN 5	972 38	LULEÅ	0920-96000	0920-228411	lansstyrelsen@bd.lst.se	www.bd.lst.se	2007:825
202100-2346	LÄNSSTYRELSEN I SKÅNE LÄN		205 15	MALMÖ	KUNGSGATAN 13	211 49	MALMÖ	040-252000	040-252110	skane@lansstyrelsen.se	www.lansstyrelsen.se/skane	2007:825
202100-2247	LÄNSSTYRELSEN I STOCKHOLMS LÄN	BOX 22067	104 22	STOCKHOLM	HANTVERKARGATAN 29	112 21	STOCKHOLM	08-7854000	08-7854001	stockholm@lansstyrelsen.se	www.ab.lst.se	2007:825
202100-2262	LÄNSSTYRELSEN I SÖDERMANLANDS LÄN		611 86	NYKÖPING	STORA TORGET 13	611 32	NYKÖPING	0155-264000	0155-267125	sodermanland@lansstyrelsen.se	www.d.lst.se	2007:825
202100-2254	LÄNSSTYRELSEN I UPPSALA LÄN		751 86	UPPSALA	HAMNESPLANADEN 3	753 19	UPPSALA	018-195000	018-195201	uppsala@lansstyrelsen.se	www.lansstyrelsen.se/sodermanland	2007:825
202100-2395	LÄNSSTYRELSEN I VÄRMLANDS LÄN		651 86	KARLSTAD	VÅXNÄSGATAN 5-7	653 40	KARLSTAD	054-197000		varmland@lansstyrelsen.se	www.lansstyrelsen.se/varmland	2007:825
202100-2460	LÄNSSTYRELSEN I VÄSTERBOTTENS LÄN		901 86	UMEÅ	STORGATAN 71 B	903 30	UMEÅ	090-107000	090-136270	vasterbotten@lanstyrelsen.se	www.ac.lst.se	2007:825
202100-2445	LÄNSSTYRELSEN I VÄSTERNORRLANDS LÄN		871 86	HÄRNÖSAND	PUMPBACKSGATAN 19	871 31	HÄRNÖSAND	0611-349000	0611-349372	vasternorrland@lansstyrelsen.se	www.y.lst.se	2007:825
202100-2411	LÄNSSTYRELSEN I VÄSTMANLANDS LÄN		721 86	VÄSTERÅS	VÄSTRA RINGVÄGEN 1	722 11	VÄSTERÅS	021-195000	021-195135	lansstyrelsen@u.lst.se	www.lansstyrelsen.se/vastmanland	2007:825
202100-2361	LÄNSSTYRELSEN I VÄSTRA GÖTALANDS LÄN		403 40	GÖTEBORG	SÖDRA HAMNGATAN 3	411 14	GÖTEBORG	031-605000	031-7742763	vastragotalan@lansstyrelsen.se	www.lansstyrelsen.se/vastragotaland	2007:825
202100-2403	LÄNSSTYRELSEN I ÖREBRO LÄN		701 86	ÖREBRO	STORTORGET 22	702 11	ÖREBRO	019-193000	019-193010	orebro@lansstyrelsen.se	www.lansstyrelsen.se/orebro	2007:825
202100-2270	LÄNSSTYRELSEN I ÖSTERGÖTLANDS LÄN		581 86	LINKÖPING	ÖSTGÖTAGATAN 3	582 32	LINKÖPING	013-196000	013-101381	ostergotland@lansstyrelsen.se	www.lansstyrelsen.se/ostergotland	2007:825
202100-4920	MALMÖ HÖGSKOLA		205 06	MALMÖ	HJÄLMAREGATAN 1	211 18	MALMÖ	040-6657000	040-6657167	info@mah.se	www.mah.se	1993:100
202100-5174	MEDLINGSINSTITUTET	BOX 1236	111 82	STOCKHOLM	TULLGRÄND 4	111 30	STOCKHOLM	08-54529240	08-6506836	info@mi.se	www.mi.se	2007:912
202100-2163	MIGRATIONSVERKET		601 70	NORRKÖPING	SLOTTSGATAN 81-82	602 22	NORRKÖPING	0771-235235	010-4856075	migrationsverket@migrationsverket.se	www.migrationsverket.se	2007:996
202100-4524	MITTUNIVERSITETET		851 70	SUNDSVALL	HOLMGATAN 10	852 30	SUNDSVALL	0771-975000	0771-975001	registrator@miun.se	www.miun.se	1993:100
202100-5091	MODERNA MUSEET	BOX 16382	103 27	STOCKHOLM	EXERCISPLAN 4 SKEPPSHOLMEN	111 49	STOCKHOLM	08-51955200	08-51955210	info@modernamuseet.se	www.modernamuseet.se	2007:1177
202100-5588	MYNDIGHETEN FÖR HANDIKAPPOLITISK SAMORDNING	ARENAVÄGEN 63	121 77	JOHANNESHOV	ARENAVÄGEN 63	121 77	JOHANNESHOV	08-6008400		info@handisam.se	www.handisam.se	2007:1134
